identifier	system	gold	head_tail	correct	gold_sense_rank
d008.s026.t002	time%1:11:00::	time%1:28:05::	tail	False	2
d008.s016.t003	element%1:06:00::	element%1:27:00::	tail	False	3
d006.s021.t010	jury%1:14:00::	jury%1:14:00::	head	True	1
d002.s004.t002	sideline%1:15:00::	sideline%1:15:00::	head	True	1
d003.s001.t003	dollar%1:21:01::	dollar%1:23:00::	head	False	1
d004.s009.t001	iraq%1:15:00::	iraq%1:15:00::	head	True	1
d007.s023.t005	case%1:04:00::	case%1:11:00::	head	False	1
d011.s016.t004	match%1:11:00::	match%1:11:00::	tail	True	2
d007.s003.t010	behavior%1:04:00::	behavior%1:04:00::	head	True	1
d001.s025.t009	news_conference%1:10:00::	news_conference%1:10:00::	head	True	1
d006.s005.t006	judge%1:18:01::	judge%1:18:00::	head	False	1
d009.s013.t002	respondent%1:18:00::	respondent%1:18:00::	tail	True	2
d012.s023.t005	germany%1:15:00::	germany%1:15:00::	head	True	1
d001.s015.t007	observer%1:18:01::	observer%1:18:01::	tail	True	2
d006.s024.t004	case%1:04:00::	case%1:04:00::	tail	True	3
d012.s019.t005	anaesthetist%1:18:00::	anaesthetist%1:18:00::	head	True	1
d005.s011.t002	us%1:15:00::	us%1:15:00::	head	True	1
d013.s004.t001	issue%1:09:01::	issue%1:09:01::	head	True	1
d012.s009.t001	side%1:15:01::	side%1:14:00::	tail	False	2
d004.s019.t004	barrel%1:06:00::	barrel%1:23:01::	tail	False	5
d012.s019.t004	shortage%1:07:00::	shortage%1:07:00::	head	True	1
d004.s012.t003	case%1:11:00::	case%1:11:00::	head	True	1
d001.s011.t001	european_union%1:14:00::	european_union%1:14:00::	head	True	1
d011.s008.t001	experience%1:09:00::	experience%1:11:00::	tail	False	3
d006.s025.t002	emotion%1:12:00::	emotion%1:12:00::	head	True	1
d006.s019.t005	reaction%1:19:01::	reaction%1:09:00::	tail	False	2
d007.s005.t005	player%1:18:01::	player%1:18:01::	head	True	1
d001.s013.t001	u.s.%1:15:00::	u.s.%1:14:00::	head	False	1
d011.s010.t007	game%1:04:00::	game%1:04:03::	tail	False	2
d012.s016.t007	shortage%1:07:00::	shortage%1:07:00::	head	True	1
d004.s012.t010	risk%1:04:00::	risk%1:26:00::	head	False	1
d007.s014.t007	rule%1:09:00::	rule%1:10:00::	tail	False	3
d013.s023.t006	dollar%1:21:01::	dollar%1:23:00::	head	False	1
d001.s011.t010	flood%1:04:01::	flood%1:19:00::	head	False	1
d002.s013.t009	end%1:28:00::	end%1:28:00::	tail	True	2
d006.s021.t007	pressure%1:04:00::	pressure%1:07:00::	tail	False	2
